Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Population,Continent
Fiji,16000,0.02%,281.2,5.27,1.39,896444,Oceania
Togo,15000,0.02%,30.6,3.18,0.84,8278737,Africa
Guyana,14000,0.01%,278.2,4.6,1.22,786559,South America
Suriname,13000,0.01%,352.8,4.26,1.13,586634,South America
Maldives,11000,0.01%,354.6,3.6,0.95,540542,Asia
Barbados,11001,0.01%,590.1,8.27,2.18,287371,North America
South Sudan,8001,0.01%,11.3,4.8,1.27,11193729,Africa
Liberia,8000,0.01%,26.7,4.9,1.3,5057677,Africa
Seychelles,7299,0.01%,1169.1,6.9,1.82,98340,Africa
Montenegro,7000,0.01%,171.1,6.46,1.71,628062,Europe
Rwanda,6700,0.01%,8.8,5.36,1.42,12952209,Africa
Sierra Leone,6500,0.01%,13.6,5.17,1.37,7976985,Africa
Malawi,6001,0.01%,5.3,5.12,1.35,19129955,Africa
Armenia,6000,0.01%,31.3,4.77,1.26,2963234,Asia
Somalia,5600,0.01%,6.1,3.03,0.8,15893219,Africa
Lesotho,5001,0.01%,36.9,5.68,1.5,2142252,Africa
Belize,4001,0.00%,166.5,6.68,1.76,397621,North America
Gambia,3800,0.00%,27.1,5.04,1.33,2416664,Africa
Bhutan,3001,0.00%,62.4,4.46,1.18,771612,Asia
Central African Republic,2800,0.00%,9.5,9.06,2.39,4829764,Africa
Grenada,2000,0.00%,278.1,4.62,1.22,112519,North America
Burundi,1499,0.00%,2.2,5.09,1.34,11890781,Africa
Comoros,1300,0.00%,25.0,5.15,1.36,869595,Africa
Dominica,1301,0.00%,279.7,4.78,1.26,71991,North America
